scan_id,diameter_um,flow_mm_s,extension,trigger,evidence_table,evidence,scope,status
D235_F05_V01,235,5,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 2,249,499","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D235_F05_V01,235,5,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D235_F05_V01,235,5,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D235_F05_V01,235,5,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D235_F07_V01,235,7,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,499","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D235_F07_V01,235,7,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D235_F07_V01,235,7,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D235_F07_V01,235,7,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D235_F10_V01,235,10,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,498","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D235_F10_V01,235,10,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D235_F10_V01,235,10,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D235_F10_V01,235,10,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D285_F01_V01,285,1,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,499","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D285_F01_V01,285,1,B,frame 0 structural feature near source lower-left/tail origin; fixed three panels insufficient,localization_review.csv,frame 0,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",complete
D285_F01_V01,285,1,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D285_F01_V01,285,1,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D285_F03_V01,285,3,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,499","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D285_F03_V01,285,3,B,frame 0 structural feature near source lower-left/tail origin; fixed three panels insufficient,localization_review.csv,frame 0,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",complete
D285_F03_V01,285,3,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D285_F03_V01,285,3,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D285_F05_V01,285,5,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,499","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D285_F05_V01,285,5,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D285_F05_V01,285,5,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D285_F05_V01,285,5,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D285_F07_V01,285,7,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,499","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D285_F07_V01,285,7,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D285_F07_V01,285,7,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D285_F07_V01,285,7,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D285_F10_V01,285,10,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,499","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D285_F10_V01,285,10,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D285_F10_V01,285,10,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D285_F10_V01,285,10,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
