scan_id,diameter_um,flow_mm_s,frame_index,figure,structural_available,review_status,source_boundary,review_basis,structural_gradient,clear_misalignment,single_side_background_mismatch,note,reviewer,reviewed_utc
D128_F07_V01,128,7,249,localization_review_display/D128_F07_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F07_V01,128,7,498,localization_review_display/D128_F07_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F10_V01,128,10,0,localization_review_display/D128_F10_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F10_V01,128,10,249,localization_review_display/D128_F10_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F10_V01,128,10,499,localization_review_display/D128_F10_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F01_V01,235,1,0,localization_review_display/D235_F01_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F01_V01,235,1,249,localization_review_display/D235_F01_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F01_V01,235,1,497,localization_review_display/D235_F01_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F03_V01,235,3,0,localization_review_display/D235_F03_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F03_V01,235,3,249,localization_review_display/D235_F03_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F03_V01,235,3,497,localization_review_display/D235_F03_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F05_V01,235,5,2,localization_review_display/D235_F05_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F05_V01,235,5,249,localization_review_display/D235_F05_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F05_V01,235,5,499,localization_review_display/D235_F05_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F07_V01,235,7,0,localization_review_display/D235_F07_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F07_V01,235,7,249,localization_review_display/D235_F07_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F07_V01,235,7,499,localization_review_display/D235_F07_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F10_V01,235,10,0,localization_review_display/D235_F10_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F10_V01,235,10,249,localization_review_display/D235_F10_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D235_F10_V01,235,10,498,localization_review_display/D235_F10_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Central low-structural-signal region overlaps source; SV distribution within circle changes from first to later frames; lower structural boundary not independently resolved.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F01_V01,285,1,0,localization_review_display/D285_F01_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Frame 0: bright structural feature at left source/lower-boundary vicinity extends toward proximal tail; fixed panels insufficient to distinguish interface crossing from local feature. Trigger B; no frame exclusion or geometry adjustment.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F01_V01,285,1,249,localization_review_display/D285_F01_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F01_V01,285,1,499,localization_review_display/D285_F01_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F03_V01,285,3,0,localization_review_display/D285_F03_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Frame 0: bright structural feature at left source/lower-boundary vicinity extends toward proximal tail; fixed panels insufficient to distinguish interface crossing from local feature. Trigger B; no frame exclusion or geometry adjustment.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F03_V01,285,3,249,localization_review_display/D285_F03_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F03_V01,285,3,499,localization_review_display/D285_F03_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F05_V01,285,5,0,localization_review_display/D285_F05_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F05_V01,285,5,249,localization_review_display/D285_F05_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F05_V01,285,5,499,localization_review_display/D285_F05_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F07_V01,285,7,0,localization_review_display/D285_F07_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F07_V01,285,7,249,localization_review_display/D285_F07_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F07_V01,285,7,499,localization_review_display/D285_F07_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F10_V01,285,10,0,localization_review_display/D285_F10_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F10_V01,285,10,249,localization_review_display/D285_F10_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D285_F10_V01,285,10,499,localization_review_display/D285_F10_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,"Central dark structural region overlaps source, with an axial gradient; SV brighter in upper part in later frames. Full lower contour remains unresolved.",Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
